column_name,description
id,"A unique identifier for each record in the dataset, allowing for easy reference and tracking of specific awards or IDVs."
award_or_idv,"Indicates whether the record pertains to an award or an individual development voucher, helping to categorize the type of funding involved."
a76_action,"Describes the specific action taken under the A76 process, which relates to the competition of government services."
agency_code,"Represents the code assigned to the agency involved in the award or IDV, facilitating identification and analysis of agency-specific data."
piid_agency_name,"The name of the agency associated with the PIID, providing context for the funding source."
alternative_advertising,"Indicates whether alternative advertising methods were used, which can impact the procurement process."
aistatus,"Reflects the current status of the award or IDV under the A76 process, useful for tracking progress and compliance."
ai_status_desc,"Provides a description of the A76 status, offering more detailed insight into the current state of the award or IDV."
aitype,"Categorizes the type of A76 action, which can help in understanding the nature of the award or IDV."
award_type_description,"Describes the specific type of award, aiding in the analysis of different funding mechanisms."
ccr_exception_type,"Identifies any exceptions related to the CCR (Central Contractor Registration) process, which may affect eligibility or compliance."
claimant_program_code,"Represents the code for the program under which the claimant is operating, useful for program-specific analysis."
claimant_program_description,"Provides a description of the claimant's program, offering context for the funding and its intended use."
co_bus_size_determination_code,"Indicates the code used to determine the size of the business involved, which can influence eligibility for certain awards."
co_bus_size_determination,"Describes the determination of business size, providing insight into the type of entities receiving funding."
commercial_item_acquisition,"Indicates whether the acquisition involves commercial items, which can affect procurement strategies."
commercial_item_test_program,"Identifies participation in a commercial item test program, relevant for understanding procurement practices."
citp_desc,"Describes the Commercial Item Test Program, providing context for the acquisition process."
contingency_ops,"Indicates whether the award or IDV is related to contingency operations, which can impact funding priorities."
bundled_contract_exception,"Identifies any exceptions related to bundled contracts, which may affect the procurement process."
contract_financing,"Describes the financing arrangements for the contract, important for understanding funding mechanisms."
contract_for_foreign_entity,"Indicates whether the contract involves a foreign entity, which can have implications for compliance and regulations."
contracting_agency_id,"Represents the identifier for the contracting agency, facilitating tracking and analysis of agency-specific data."
contracting_agency_name,"The name of the agency responsible for the contract, providing context for the funding source."
department_id,"Identifies the department associated with the award or IDV, useful for departmental analysis."
department_name,"The name of the department involved, providing additional context for the funding and its management."
contracting_office_id,"Represents the identifier for the contracting office, aiding in tracking and analysis of specific offices."
contracting_office_name,"The name of the contracting office, providing context for the management of the award or IDV."
region_code,"Indicates the geographical region associated with the award or IDV, useful for regional analysis."
cost_acct_standards,"Describes the cost accounting standards applicable to the award or IDV, important for compliance and reporting."
cost_or_pricing_data,"Indicates whether cost or pricing data is required, which can affect the procurement process."
country_code,"Represents the code for the country associated with the award or IDV, useful for international analysis."
award_country_name,"The name of the country related to the award or IDV, providing context for the funding source."
current_completion_date,"Indicates the expected completion date for the award or IDV, important for tracking timelines."
current_contract_value,"Represents the current value of the contract, which is crucial for financial analysis and reporting."
date_signed,"The date on which the award or IDV was signed, providing a timeline for the funding process."
description_of_requirement,"Describes the specific requirements of the award or IDV, offering insight into the intended use of funds."
dollars_obligated,"Indicates the total amount of dollars obligated under the award or IDV, important for financial tracking."
dollars_obligated_per_action,"Represents the amount of dollars obligated for each action taken under the award or IDV, useful for detailed financial analysis."
economy_act,"Indicates whether the Economy Act is applicable, which can affect procurement strategies."
effective_date,"The date on which the award or IDV becomes effective, important for understanding the timeline of funding."
use_of_epa_products,"Indicates whether EPA products are used, which can have implications for compliance and environmental considerations."
use_of_epa_products_desc,"Provides a description of the use of EPA products, offering additional context for compliance."
email_address,"Represents the email address associated with the award or IDV, useful for communication purposes."
evaluated_preference,"Indicates whether evaluated preferences were applied, which can impact the procurement process."
extent_competed,"Describes the extent to which the award or IDV was competed, important for understanding procurement practices."
fee_paid_for_use_of_service,"Represents any fees paid for the use of services under the award or IDV, relevant for financial analysis."
fee_range_lower_value,"Indicates the lower value of the fee range associated with the award or IDV, useful for budgeting."
fee_range_upper_value,"Indicates the upper value of the fee range associated with the award or IDV, important for financial planning."
fixed_fee_value,"Represents the fixed fee value associated with the award or IDV, crucial for understanding financial commitments."
funding_agency_code,"Represents the code for the agency providing funding, essential for tracking financial sources."
funding_agency_name,"The name of the agency that is providing the funding, offering clarity on financial responsibilities."
funding_office_code,"Code for the specific office within the funding agency, useful for detailed tracking of funding sources."
funding_office_name,"The name of the office providing the funding, which can help in identifying points of contact."
funding_department_id,"Identifier for the department within the agency responsible for the funding, aiding in organizational clarity."
funding_department_name,"The name of the department providing the funding, which can be important for accountability."
idv_last_date,"The last date associated with the individual development voucher, useful for tracking timelines."
it_commercial_item_category,"Categorizes the commercial items related to information technology, which can be important for compliance and reporting."
last_modified_by,"Indicates who last modified the record, providing accountability and traceability."
last_modified_date,"The date when the record was last modified, which is important for maintaining up-to-date information."
letter_contract,"Indicates whether a letter contract is involved, which can affect the procurement process."
major_program_code,"Represents the code for the major program under which the award or IDV falls, aiding in program analysis."
pop_location_code,"Code for the location where the performance of the contract will take place, important for logistical planning."
pop_location_name,"The name of the location associated with the performance of the contract, providing geographical context."
pop_location_state_cd,"State code for the location of performance, useful for regional analysis."
pop_location_state_name,"The name of the state where the performance will occur, providing clarity on geographical details."
feature_id,"Identifier for specific features related to the award or IDV, which can be useful for detailed analysis."
feat_name,"The name of the feature associated with the award or IDV, providing context for the identifier."
pop_county_code,"Code for the county where the performance will take place, important for local analysis."
pop_county_name,"The name of the county associated with the performance location, providing additional geographical context."
feat_class,"Classifies the feature related to the award or IDV, which can aid in categorization and analysis."
fips_class,"Indicates the FIPS classification, which can be important for compliance and reporting purposes."
pop_country_code,"Code for the country where the performance will occur, useful for international considerations."
pop_country_name,"The name of the country associated with the performance location, providing clarity on geographical details."
pop_zip_code,"Zip code for the location of performance, important for logistical and regional analysis."
max_order_limit,"Specifies the maximum order limit for the award or IDV, which is crucial for budgetary considerations."
modification_number,"Indicates the modification number for the award or IDV, useful for tracking changes over time."
multiple_or_single_award_idc,"Indicates whether the award is a multiple or single award, which can affect procurement strategies."
naics_code,"Represents the NAICS code associated with the award or IDV, important for industry classification."
naics_description,"Describes the industry associated with the NAICS code, providing context for the classification."
number_of_actions,"Counts the number of actions taken under the award or IDV, useful for performance tracking."
number_of_offers_received,"Indicates how many offers were received for the award, which can be important for competition analysis."
perform_based_service_contract,"Indicates whether the contract is performance-based, which can affect evaluation criteria."
pbsc_short_description,"Provides a brief description of the performance-based service contract, offering quick insights."
ordering_procedure,"Describes the procedure used for ordering under the award or IDV, which can impact compliance."
prepared_by,"Indicates who prepared the record, providing accountability and traceability."
prepared_date,"The date when the record was prepared, which is important for maintaining up-to-date information."
piid,"The unique identifier for the procurement instrument, essential for tracking specific contracts."
pre_award_synopsis_requirement,"Indicates whether a pre-award synopsis is required, which can affect procurement processes."
original_agency_code,"Represents the code for the original agency involved in the award or IDV, aiding in historical tracking."
original_piid,"The original PIID associated with the award or IDV, useful for reference and tracking changes."
award_class_id,"Identifier for the class of the award, which can help in categorizing and analyzing awards."
is_transfered,"Indicates whether the award or IDV has been transferred, which can affect tracking and compliance."
ref_idv_class_id,"Identifier for the reference IDV class, useful for categorization and analysis."
place_of_manufacture,"Indicates where the product or service is manufactured, which can be important for compliance and sourcing."
pom_short_description,"Provides a brief description of the place of manufacture, offering quick insights."
price_eval_diff,"Represents the difference in price evaluation, which can be important for financial analysis."
product_or_service_code,"Code representing the product or service associated with the award or IDV, aiding in classification."
product_or_service_description,"Describes the product or service related to the award or IDV, providing clarity on the offering."
system_equipment_code,"Code for the system or equipment involved in the award or IDV, useful for technical classification."
system_equipment_desc,"Details the description of the system or equipment being procured, which is crucial for understanding the nature of the acquisition."
program_acronym,"Represents the acronym for the program associated with the award or IDV, facilitating quick reference."
purchase_card_payment_method,"Indicates the payment method used for purchase card transactions, relevant for financial tracking."
reason_for_modification,"Describes the reason for any modifications made to the award or IDV, which is important for transparency."
reason_for_modification_desc,"Provides a detailed description of the modification reason, offering clarity on changes made."
reason_for_purchase,"Indicates the rationale behind the purchase, which can be useful for justifying expenditures."
reason_not_competed,"Describes the reason why the award or IDV was not competed, relevant for compliance and oversight."
reason_not_sb,"Indicates the reason why a small business set-aside was not applicable, important for understanding procurement decisions."
reason_not_sb_desc,"Provides a description of the reason for not applying a small business set-aside, offering further context."
reason_not_sdb,"Indicates the reason why a small disadvantaged business set-aside was not applicable, relevant for compliance."
reason_not_sdb_desc,"Describes the rationale for not applying a small disadvantaged business set-aside, providing additional insight."
