piid,contract_number,vendor_name,vendor_duns,naics,total_contract_value,award_date,period_of_performance_start,period_of_performance_end
GS23F0001X,GS-23-F-0001X,Acme Technology Solutions,123456789,541511,1250000.00,2023-03-15,2023-04-01,2024-03-31
FA8750-23-C-0001,FA8750-23-C-0001,TechCorp Industries,987654321,541512,3500000.00,2023-06-20,2023-07-01,2025-06-30
N00024-23-C-4567,N00024-23-C-4567,Digital Services Group,456789123,541513,875000.00,2023-01-10,2023-02-01,2024-01-31
W911QY-23-C-0089,W911QY-23-C-0089,Federal IT Partners,789123456,541519,2100000.00,2023-09-05,2023-10-01,2025-09-30
HSHQDC-23-D-00045,HSHQDC-23-D-00045,Cloud Services LLC,321654987,541611,4200000.00,2023-04-18,2023-05-01,2026-04-30
GS23F0042Y,GS-23-F-0042Y,DataSystems Corp,654987321,541618,1750000.00,2023-07-22,2023-08-01,2024-07-31
FA8771-23-C-0123,FA8771-23-C-0123,CyberSecurity Experts,147258369,541690,3100000.00,2023-05-30,2023-06-15,2025-06-14
N00178-23-C-9876,N00178-23-C-9876,Network Solutions Inc,258369147,541715,950000.00,2023-02-14,2023-03-01,2024-02-28
W52P1J-23-C-0456,W52P1J-23-C-0456,Enterprise Software Group,369147258,541990,1500000.00,2023-08-11,2023-09-01,2025-08-31
HSHQE3-23-C-0234,HSHQE3-23-C-0234,Consulting Partners LLC,963852741,561210,2800000.00,2023-10-25,2023-11-01,2025-10-31
GS23F0089Z,GS-23-F-0089Z,Infrastructure Specialists,852741963,561320,1325000.00,2023-11-03,2023-12-01,2024-11-30
FA8732-23-C-0567,FA8732-23-C-0567,Application Developers Inc,741963852,561499,2450000.00,2023-12-01,2024-01-01,2025-12-31
